,Date,Round,Home,Away,Home Score,Away Score,Home Elo Pre,Away Elo Pre,Home Elo Pre + Advantage,Home Elo Post,Away Elo Post,Home Elo Change,Away Elo Change,Result,Year
502,2014-06-01,R11,Hawthorn,GWS,94,87,1743.21,1209.97,1793.21,1743.54,1209.63,0.33,-0.33,Home Win,2014
503,2014-06-01,R11,West Coast,North Melbourne,44,82,1493.16,1550.2,1543.16,1469.74,1573.62,-23.42,23.42,Away Win,2014
504,2014-06-06,R12,Geelong,Carlton,107,102,1624.35,1451.7,1624.35,1627.0,1449.04,2.65,-2.65,Home Win,2014
505,2014-06-07,R12,Footscray,Brisbane Lions,87,95,1343.51,1329.5,1393.51,1334.47,1338.54,-9.04,9.04,Away Win,2014
506,2014-06-07,R12,GWS,Essendon,66,81,1209.63,1511.48,1259.63,1205.88,1515.24,-3.75,3.75,Away Win,2014
507,2014-06-07,R12,Hawthorn,West Coast,123,79,1743.54,1469.74,1793.54,1749.71,1463.57,6.17,-6.17,Home Win,2014
508,2014-06-07,R12,Port Adelaide,St Kilda,129,59,1645.25,1341.35,1695.25,1652.74,1333.86,7.49,-7.49,Home Win,2014
509,2014-06-08,R12,Gold Coast,Sydney,74,109,1481.26,1695.07,1531.26,1470.04,1706.3,-11.22,11.22,Away Win,2014
510,2014-06-08,R12,Fremantle,Adelaide,90,50,1647.59,1556.28,1697.59,1662.48,1541.39,14.89,-14.89,Home Win,2014
511,2014-06-08,R12,North Melbourne,Richmond,116,88,1573.62,1500.74,1623.62,1585.92,1488.44,12.3,-12.3,Home Win,2014
512,2014-06-09,R12,Melbourne,Collingwood,28,61,1244.06,1631.31,1294.06,1239.77,1635.6,-4.29,4.29,Away Win,2014
513,2014-06-13,R13,Carlton,Hawthorn,90,118,1449.04,1749.71,1499.04,1442.97,1755.79,-6.07,6.07,Away Win,2014
514,2014-06-14,R13,Brisbane Lions,GWS,80,125,1338.54,1205.88,1388.54,1300.33,1244.1,-38.21,38.21,Away Win,2014
515,2014-06-14,R13,Adelaide,North Melbourne,109,73,1541.39,1585.92,1591.39,1564.16,1563.15,22.77,-22.77,Home Win,2014
516,2014-06-14,R13,West Coast,Gold Coast,103,100,1463.57,1470.04,1513.57,1467.09,1466.52,3.52,-3.52,Home Win,2014
517,2014-06-14,R13,Sydney,Port Adelaide,98,94,1706.3,1652.74,1756.3,1709.59,1649.45,3.29,-3.29,Home Win,2014
518,2014-06-14,R13,Richmond,Fremantle,85,105,1488.44,1662.48,1538.44,1479.65,1671.27,-8.79,8.79,Away Win,2014
519,2014-06-15,R13,Geelong,St Kilda,133,37,1627.0,1333.86,1677.0,1637.23,1323.63,10.22,-10.22,Home Win,2014
520,2014-06-15,R13,Collingwood,Footscray,98,106,1635.6,1334.47,1635.6,1625.01,1345.06,-10.59,10.59,Away Win,2014
521,2014-06-15,R13,Essendon,Melbourne,77,78,1515.24,1239.77,1565.24,1511.94,1243.07,-3.3,3.3,Away Win,2014
522,2014-06-20,R14,Richmond,Sydney,51,62,1479.65,1709.59,1529.65,1475.34,1713.9,-4.31,4.31,Away Win,2014
523,2014-06-21,R14,Essendon,Adelaide,101,92,1511.94,1564.16,1561.94,1520.06,1556.03,8.13,-8.13,Home Win,2014
524,2014-06-21,R14,Gold Coast,Geelong,118,78,1466.52,1637.23,1516.52,1497.05,1606.7,30.53,-30.53,Home Win,2014
525,2014-06-21,R14,Fremantle,Brisbane Lions,105,22,1671.27,1300.33,1721.27,1677.06,1294.53,5.8,-5.8,Home Win,2014
526,2014-06-21,R14,Port Adelaide,Footscray,128,56,1649.45,1345.06,1699.45,1657.09,1337.43,7.64,-7.64,Home Win,2014
527,2014-06-21,R14,Hawthorn,Collingwood,115,86,1755.79,1625.01,1805.79,1765.36,1615.43,9.57,-9.57,Home Win,2014
528,2014-06-22,R14,GWS,Carlton,100,92,1244.1,1442.97,1294.1,1253.46,1433.6,9.37,-9.37,Home Win,2014
529,2014-06-22,R14,St Kilda,West Coast,70,103,1323.63,1467.09,1373.63,1308.82,1481.9,-14.81,14.81,Away Win,2014
530,2014-06-22,R14,Melbourne,North Melbourne,66,107,1243.07,1563.15,1293.07,1235.7,1570.51,-7.36,7.36,Away Win,2014
531,2014-06-27,R15,Geelong,Essendon,89,80,1606.7,1520.06,1606.7,1612.64,1514.12,5.95,-5.95,Home Win,2014
532,2014-06-28,R15,Sydney,GWS,106,60,1713.9,1253.46,1763.9,1716.03,1251.33,2.13,-2.13,Home Win,2014
533,2014-06-28,R15,Hawthorn,Gold Coast,116,63,1765.36,1497.05,1815.36,1772.73,1489.69,7.37,-7.37,Home Win,2014
534,2014-06-28,R15,St Kilda,Richmond,73,117,1308.82,1475.34,1358.82,1292.09,1492.08,-16.73,16.73,Away Win,2014
535,2014-06-28,R15,Fremantle,West Coast,88,81,1677.06,1481.9,1727.06,1679.45,1479.51,2.39,-2.39,Home Win,2014
536,2014-06-28,R15,Brisbane Lions,North Melbourne,70,66,1294.53,1570.51,1344.53,1300.75,1564.29,6.22,-6.22,Home Win,2014
537,2014-06-29,R15,Collingwood,Carlton,91,76,1615.43,1433.6,1665.43,1619.89,1429.14,4.46,-4.46,Home Win,2014
538,2014-06-29,R15,Adelaide,Port Adelaide,99,76,1556.03,1657.09,1606.03,1574.0,1639.12,17.97,-17.97,Home Win,2014
539,2014-06-29,R15,Footscray,Melbourne,91,85,1337.43,1235.7,1387.43,1340.87,1232.26,3.45,-3.45,Home Win,2014
540,2014-07-04,R16,North Melbourne,Hawthorn,108,88,1564.29,1772.73,1614.29,1582.92,1754.1,18.63,-18.63,Home Win,2014
541,2014-07-05,R16,Richmond,Brisbane Lions,79,54,1492.08,1300.75,1542.08,1498.33,1294.5,6.25,-6.25,Home Win,2014
542,2014-07-05,R16,GWS,Adelaide,72,140,1251.33,1574.0,1301.33,1240.53,1584.8,-10.8,10.8,Away Win,2014
543,2014-07-05,R16,Gold Coast,Collingwood,80,75,1489.69,1619.89,1539.69,1495.9,1613.68,6.21,-6.21,Home Win,2014
544,2014-07-05,R16,Port Adelaide,Essendon,60,62,1639.12,1514.12,1689.12,1634.84,1518.4,-4.28,4.28,Away Win,2014
545,2014-07-05,R16,Melbourne,Fremantle,34,97,1232.26,1679.45,1232.26,1228.38,1683.33,-3.87,3.87,Away Win,2014
546,2014-07-06,R16,West Coast,Sydney,51,79,1479.51,1716.03,1529.51,1471.07,1724.47,-8.45,8.45,Away Win,2014
547,2014-07-06,R16,Geelong,Footscray,69,56,1612.64,1340.87,1662.64,1615.09,1338.42,2.45,-2.45,Home Win,2014
548,2014-07-06,R16,Carlton,St Kilda,151,66,1429.14,1292.09,1479.14,1450.69,1270.54,21.55,-21.55,Home Win,2014
549,2014-07-11,R17,Adelaide,Hawthorn,92,104,1584.8,1754.1,1634.8,1578.68,1760.22,-6.12,6.12,Away Win,2014
550,2014-07-12,R17,Melbourne,Geelong,36,102,1228.38,1615.09,1278.38,1220.98,1622.5,-7.41,7.41,Away Win,2014
551,2014-07-12,R17,North Melbourne,St Kilda,92,33,1582.92,1270.54,1632.92,1589.15,1264.3,6.23,-6.23,Home Win,2014
552,2014-07-12,R17,Footscray,Gold Coast,94,66,1338.42,1495.9,1338.42,1363.37,1470.95,24.95,-24.95,Home Win,2014
553,2014-07-12,R17,Sydney,Carlton,122,51,1724.47,1450.69,1774.47,1733.46,1441.7,8.99,-8.99,Home Win,2014
554,2014-07-12,R17,Brisbane Lions,West Coast,64,76,1294.5,1471.07,1344.5,1288.58,1476.99,-5.92,5.92,Away Win,2014
555,2014-07-13,R17,Fremantle,GWS,136,60,1683.33,1240.53,1733.33,1686.85,1237.01,3.52,-3.52,Home Win,2014
556,2014-07-13,R17,Richmond,Port Adelaide,126,106,1498.33,1634.84,1498.33,1517.19,1615.98,18.86,-18.86,Home Win,2014
557,2014-07-13,R17,Essendon,Collingwood,103,39,1518.4,1613.68,1568.4,1557.87,1574.21,39.47,-39.47,Home Win,2014
558,2014-07-18,R18,Carlton,North Melbourne,109,86,1441.7,1589.15,1491.7,1461.0,1569.85,19.3,-19.3,Home Win,2014
559,2014-07-19,R18,GWS,Geelong,87,94,1237.01,1622.5,1287.01,1235.64,1623.86,-1.36,1.36,Away Win,2014
560,2014-07-19,R18,St Kilda,Fremantle,118,60,1264.3,1686.85,1314.3,1310.87,1640.28,46.57,-46.57,Home Win,2014
561,2014-07-20,R18,Port Adelaide,Melbourne,72,69,1615.98,1220.98,1665.98,1616.42,1220.54,0.44,-0.44,Home Win,2014
562,2014-07-20,R18,Footscray,Essendon,94,101,1363.37,1557.87,1413.37,1359.67,1561.56,-3.69,3.69,Away Win,2014
563,2014-07-25,R18,West Coast,Richmond,42,59,1476.99,1517.19,1526.99,1463.57,1530.61,-13.41,13.41,Away Win,2014
564,2014-07-26,R18,Brisbane Lions,Gold Coast,110,56,1288.58,1470.95,1338.58,1327.73,1431.8,39.15,-39.15,Home Win,2014
565,2014-07-26,R18,Hawthorn,Sydney,104,94,1760.22,1733.46,1810.22,1767.18,1726.51,6.96,-6.96,Home Win,2014
566,2014-07-27,R18,Collingwood,Adelaide,82,98,1574.21,1578.68,1624.21,1559.72,1593.17,-14.49,14.49,Away Win,2014
567,2014-07-31,R19,Fremantle,Carlton,83,78,1640.28,1461.0,1690.28,1642.34,1458.94,2.06,-2.06,Home Win,2014
568,2014-08-01,R19,Sydney,Essendon,79,57,1726.51,1561.56,1776.51,1733.02,1555.05,6.51,-6.51,Home Win,2014
569,2014-08-02,R19,North Melbourne,Geelong,79,111,1569.85,1623.86,1619.85,1549.13,1644.58,-20.72,20.72,Away Win,2014
570,2014-08-02,R19,Gold Coast,St Kilda,117,64,1431.8,1310.87,1481.8,1447.89,1294.78,16.09,-16.09,Home Win,2014
571,2014-08-02,R19,Adelaide,West Coast,105,136,1593.17,1463.57,1643.17,1564.65,1492.09,-28.52,28.52,Away Win,2014
572,2014-08-02,R19,Richmond,GWS,89,62,1530.61,1235.64,1580.61,1534.35,1231.9,3.74,-3.74,Home Win,2014
573,2014-08-03,R19,Melbourne,Brisbane Lions,51,74,1220.54,1327.73,1220.54,1209.6,1338.67,-10.94,10.94,Away Win,2014
574,2014-08-03,R19,Hawthorn,Footscray,107,45,1767.18,1359.67,1817.18,1770.88,1355.97,3.71,-3.71,Home Win,2014
575,2014-08-03,R19,Collingwood,Port Adelaide,76,70,1559.72,1616.42,1609.72,1565.89,1610.25,6.17,-6.17,Home Win,2014
576,2014-08-08,R20,Richmond,Essendon,95,77,1534.35,1555.05,1584.35,1547.02,1542.39,12.67,-12.67,Home Win,2014
577,2014-08-09,R20,Geelong,Fremantle,81,79,1644.58,1642.34,1694.58,1647.31,1639.61,2.73,-2.73,Home Win,2014
578,2014-08-09,R20,Hawthorn,Melbourne,115,65,1770.88,1209.6,1820.88,1772.11,1208.37,1.23,-1.23,Home Win,2014
579,2014-08-09,R20,Port Adelaide,Sydney,58,84,1610.25,1733.02,1660.25,1596.79,1746.47,-13.46,13.46,Away Win,2014
580,2014-08-09,R20,GWS,North Melbourne,51,126,1231.9,1549.13,1281.9,1219.88,1561.15,-12.02,12.02,Away Win,2014
581,2014-08-09,R20,Carlton,Gold Coast,97,58,1458.94,1447.89,1508.94,1479.82,1427.01,20.88,-20.88,Home Win,2014
582,2014-08-10,R20,West Coast,Collingwood,126,66,1492.09,1565.89,1542.09,1528.15,1529.83,36.06,-36.06,Home Win,2014
583,2014-08-10,R20,Brisbane Lions,Adelaide,63,168,1338.67,1564.65,1388.67,1313.58,1589.75,-25.09,25.09,Away Win,2014
584,2014-08-10,R20,St Kilda,Footscray,99,122,1294.78,1355.97,1344.78,1279.15,1371.6,-15.64,15.64,Away Win,2014
585,2014-08-15,R21,Carlton,Geelong,76,82,1479.82,1647.31,1529.82,1476.06,1651.07,-3.76,3.76,Away Win,2014
586,2014-08-16,R21,Sydney,St Kilda,127,56,1746.47,1279.15,1796.47,1749.35,1276.27,2.88,-2.88,Home Win,2014
587,2014-08-16,R21,Gold Coast,Port Adelaide,47,56,1427.01,1596.79,1477.01,1422.06,1601.74,-4.95,4.95,Away Win,2014
588,2014-08-16,R21,Essendon,West Coast,77,74,1542.39,1528.15,1592.39,1545.65,1524.89,3.27,-3.27,Home Win,2014
589,2014-08-16,R21,Adelaide,Richmond,69,79,1589.75,1547.02,1639.75,1578.68,1558.08,-11.07,11.07,Away Win,2014
590,2014-08-16,R21,Collingwood,Brisbane Lions,56,123,1529.83,1313.58,1579.83,1475.16,1368.25,-54.67,54.67,Away Win,2014
591,2014-08-17,R21,North Melbourne,Footscray,111,61,1561.15,1371.6,1611.15,1571.97,1360.78,10.82,-10.82,Home Win,2014
592,2014-08-17,R21,Melbourne,GWS,34,98,1208.37,1219.88,1258.37,1166.99,1261.26,-41.37,41.37,Away Win,2014
593,2014-08-17,R21,Fremantle,Hawthorn,110,91,1639.61,1772.11,1689.61,1655.94,1755.78,16.33,-16.33,Home Win,2014
594,2014-08-22,R22,Port Adelaide,Carlton,140,37,1601.74,1476.06,1651.74,1628.29,1449.51,26.55,-26.55,Home Win,2014
595,2014-08-23,R22,North Melbourne,Adelaide,101,94,1571.97,1578.68,1621.97,1578.1,1572.55,6.13,-6.13,Home Win,2014
596,2014-08-23,R22,Essendon,Gold Coast,108,89,1545.65,1422.06,1595.65,1552.83,1414.88,7.17,-7.17,Home Win,2014
597,2014-08-23,R22,GWS,Collingwood,67,75,1261.26,1475.16,1311.26,1257.56,1478.86,-3.7,3.7,Away Win,2014
598,2014-08-23,R22,Hawthorn,Geelong,94,71,1755.78,1651.07,1805.78,1764.88,1641.97,9.1,-9.1,Home Win,2014
599,2014-08-23,R22,West Coast,Melbourne,119,53,1524.89,1166.99,1574.89,1530.11,1161.77,5.23,-5.23,Home Win,2014
600,2014-08-24,R22,Brisbane Lions,Fremantle,48,106,1368.25,1655.94,1418.25,1356.77,1667.43,-11.48,11.48,Away Win,2014
601,2014-08-24,R22,Footscray,Sydney,67,130,1360.78,1749.35,1410.78,1353.72,1756.42,-7.06,7.06,Away Win,2014
602,2014-08-24,R22,Richmond,St Kilda,98,72,1558.08,1276.27,1608.08,1562.0,1272.35,3.92,-3.92,Home Win,2014
603,2014-08-29,R23,Collingwood,Hawthorn,56,121,1478.86,1764.88,1528.86,1466.19,1777.55,-12.67,12.67,Away Win,2014
604,2014-08-30,R23,North Melbourne,Melbourne,123,93,1578.1,1161.77,1628.1,1580.1,1159.77,1.99,-1.99,Home Win,2014
605,2014-08-30,R23,Geelong,Brisbane Lions,143,81,1641.97,1356.77,1691.97,1649.54,1349.2,7.57,-7.57,Home Win,2014
606,2014-08-30,R23,Fremantle,Port Adelaide,105,97,1667.43,1628.29,1717.43,1673.04,1622.68,5.62,-5.62,Home Win,2014
607,2014-08-30,R23,Carlton,Essendon,90,90,1449.51,1552.83,1499.51,1448.47,1553.87,-1.04,1.04,Away Win,2014
608,2014-08-30,R23,Sydney,Richmond,65,68,1756.42,1562.0,1806.42,1750.8,1567.62,-5.62,5.62,Away Win,2014
609,2014-08-31,R23,Gold Coast,West Coast,99,151,1414.88,1530.11,1464.88,1391.07,1553.93,-23.82,23.82,Away Win,2014
610,2014-08-31,R23,Adelaide,St Kilda,141,62,1572.55,1272.35,1622.55,1580.96,1263.93,8.42,-8.42,Home Win,2014
611,2014-08-31,R23,Footscray,GWS,109,115,1353.72,1257.56,1403.72,1345.51,1265.76,-8.21,8.21,Away Win,2014
612,2014-09-05,QF,Hawthorn,Geelong,104,68,1777.55,1649.54,1827.55,1789.03,1638.06,11.48,-11.48,Home Win,2014
613,2014-09-06,QF,Sydney,Fremantle,93,69,1750.8,1673.04,1800.8,1761.48,1662.36,10.68,-10.68,Home Win,2014
614,2014-09-06,EF,North Melbourne,Essendon,93,81,1580.1,1553.87,1580.1,1589.5,1544.47,9.4,-9.4,Home Win,2014
615,2014-09-07,EF,Port Adelaide,Richmond,132,75,1622.68,1567.62,1672.68,1645.91,1544.39,23.23,-23.23,Home Win,2014
616,2014-09-12,SF,Geelong,North Melbourne,92,98,1638.06,1589.5,1688.06,1630.29,1597.27,-7.77,7.77,Away Win,2014
617,2014-09-13,SF,Fremantle,Port Adelaide,83,105,1662.36,1645.91,1712.36,1643.14,1665.13,-19.22,19.22,Away Win,2014
618,2014-09-19,PF,Sydney,North Melbourne,136,65,1761.48,1597.27,1811.48,1777.76,1580.99,16.28,-16.28,Home Win,2014
619,2014-09-20,PF,Hawthorn,Port Adelaide,97,94,1789.03,1665.13,1839.03,1791.01,1663.16,1.98,-1.98,Home Win,2014
620,2014-09-27,GF,Sydney,Hawthorn,74,137,1777.76,1791.01,1777.76,1742.41,1826.36,-35.35,35.35,Away Win,2014
621,2015-04-02,R1,Carlton,Richmond,78,105,1465.48,1529.74,1515.48,1447.99,1547.23,-17.49,17.49,Away Win,2015
622,2015-04-04,R1,Brisbane Lions,Collingwood,74,86,1398.96,1477.35,1448.96,1389.99,1486.32,-8.97,8.97,Away Win,2015
623,2015-04-04,R1,Footscray,West Coast,97,87,1396.49,1536.13,1446.49,1406.72,1525.9,10.23,-10.23,Home Win,2015
624,2015-04-04,R1,Melbourne,Gold Coast,115,89,1272.05,1427.01,1322.05,1293.48,1405.58,21.43,-21.43,Home Win,2015
625,2015-04-04,R1,Sydney,Essendon,72,60,1662.41,1529.8,1712.41,1667.27,1524.94,4.86,-4.86,Home Win,2015
626,2015-04-05,R1,Adelaide,North Melbourne,140,63,1554.24,1554.26,1604.24,1591.54,1516.96,37.3,-37.3,Home Win,2015
627,2015-04-05,R1,Fremantle,Port Adelaide,75,68,1595.9,1609.31,1645.9,1602.13,1603.08,6.23,-6.23,Home Win,2015
628,2015-04-05,R1,St Kilda,GWS,78,87,1341.83,1343.06,1391.83,1332.25,1352.64,-9.58,9.58,Away Win,2015
629,2015-04-06,R1,Hawthorn,Geelong,123,61,1718.66,1587.29,1768.66,1735.94,1570.01,17.28,-17.28,Home Win,2015
630,2015-04-10,R2,West Coast,Carlton,131,62,1525.9,1447.99,1575.9,1550.23,1423.67,24.33,-24.33,Home Win,2015
631,2015-04-11,R2,Richmond,Footscray,66,85,1547.23,1406.72,1597.23,1527.49,1426.46,-19.74,19.74,Away Win,2015
632,2015-04-11,R2,GWS,Melbourne,101,56,1352.64,1293.48,1402.64,1371.58,1274.53,18.95,-18.95,Home Win,2015
633,2015-04-11,R2,Collingwood,Adelaide,63,90,1486.32,1591.54,1486.32,1473.83,1604.02,-12.49,12.49,Away Win,2015
634,2015-04-11,R2,Gold Coast,St Kilda,76,104,1405.58,1332.25,1455.58,1380.61,1357.23,-24.97,24.97,Away Win,2015
635,2015-04-11,R2,Port Adelaide,Sydney,44,92,1603.08,1667.27,1653.08,1575.71,1694.64,-27.37,27.37,Away Win,2015
636,2015-04-12,R2,North Melbourne,Brisbane Lions,133,51,1516.96,1389.99,1566.96,1538.99,1367.97,22.02,-22.02,Home Win,2015
637,2015-04-12,R2,Essendon,Hawthorn,78,76,1524.94,1735.94,1574.94,1528.88,1732.01,3.94,-3.94,Home Win,2015
638,2015-04-12,R2,Geelong,Fremantle,60,104,1570.01,1602.13,1620.01,1541.28,1630.86,-28.72,28.72,Away Win,2015
639,2015-04-17,R3,Collingwood,St Kilda,140,66,1473.83,1357.23,1523.83,1495.21,1335.85,21.37,-21.37,Home Win,2015
640,2015-04-18,R3,Carlton,Essendon,84,105,1423.67,1528.88,1473.67,1411.38,1541.16,-12.28,12.28,Away Win,2015
641,2015-04-18,R3,Adelaide,Melbourne,80,55,1604.02,1274.53,1654.02,1606.91,1271.64,2.89,-2.89,Home Win,2015
642,2015-04-18,R3,Sydney,GWS,111,90,1694.64,1371.58,1744.64,1697.27,1368.96,2.63,-2.63,Home Win,2015
643,2015-04-18,R3,North Melbourne,Port Adelaide,105,113,1538.99,1575.71,1588.99,1531.19,1583.51,-7.8,7.8,Away Win,2015
644,2015-04-18,R3,Brisbane Lions,Richmond,58,137,1367.97,1527.49,1417.97,1340.61,1554.85,-27.36,27.36,Away Win,2015
645,2015-04-19,R3,Hawthorn,Footscray,127,57,1732.01,1426.46,1782.01,1739.43,1419.04,7.42,-7.42,Home Win,2015
646,2015-04-19,R3,Geelong,Gold Coast,105,96,1541.28,1380.61,1591.28,1544.7,1377.19,3.42,-3.42,Home Win,2015
647,2015-04-19,R3,West Coast,Fremantle,81,111,1550.23,1630.86,1600.23,1532.41,1648.68,-17.82,17.82,Away Win,2015
648,2015-04-24,R4,Richmond,Melbourne,51,83,1554.85,1271.64,1604.85,1523.76,1302.72,-31.09,31.09,Away Win,2015
649,2015-04-25,R4,St Kilda,Carlton,81,121,1335.85,1411.38,1335.85,1316.57,1430.66,-19.28,19.28,Away Win,2015
650,2015-04-25,R4,Essendon,Collingwood,49,69,1541.16,1495.21,1591.16,1522.51,1513.85,-18.65,18.65,Away Win,2015
651,2015-04-25,R4,GWS,Gold Coast,119,53,1368.96,1377.19,1418.96,1402.65,1343.5,33.7,-33.7,Home Win,2015
652,2015-04-25,R4,Port Adelaide,Hawthorn,99,91,1583.51,1739.43,1633.51,1592.42,1730.52,8.91,-8.91,Home Win,2015
653,2015-04-25,R4,Fremantle,Sydney,74,60,1648.68,1697.27,1698.68,1659.83,1686.11,11.16,-11.16,Home Win,2015
654,2015-04-26,R4,Brisbane Lions,West Coast,65,118,1340.61,1532.41,1390.61,1323.37,1549.64,-17.23,17.23,Away Win,2015
655,2015-04-26,R4,Geelong,North Melbourne,67,83,1544.7,1531.19,1594.7,1529.67,1546.21,-15.02,15.02,Away Win,2015
656,2015-04-26,R4,Footscray,Adelaide,125,68,1419.04,1606.91,1469.04,1460.14,1565.81,41.1,-41.1,Home Win,2015
657,2015-05-01,R5,Carlton,Collingwood,45,120,1430.66,1513.85,1480.66,1394.51,1550.01,-36.15,36.15,Away Win,2015
658,2015-05-02,R5,Richmond,Geelong,76,85,1523.76,1529.67,1573.76,1514.33,1539.1,-9.43,9.43,Away Win,2015
659,2015-05-02,R5,Sydney,Footscray,73,77,1686.11,1460.14,1736.11,1679.31,1466.94,-6.8,6.8,Away Win,2015
660,2015-05-02,R5,Gold Coast,Brisbane Lions,118,54,1343.5,1323.37,1393.5,1373.14,1293.73,29.64,-29.64,Home Win,2015
661,2015-05-02,R5,North Melbourne,Hawthorn,70,130,1546.21,1730.52,1596.21,1526.54,1750.19,-19.68,19.68,Away Win,2015
662,2015-05-02,R5,West Coast,GWS,120,33,1549.64,1402.65,1599.64,1570.52,1381.78,20.88,-20.88,Home Win,2015
663,2015-05-03,R5,Melbourne,Fremantle,50,118,1302.72,1659.83,1352.72,1293.78,1668.78,-8.95,8.95,Away Win,2015
664,2015-05-03,R5,St Kilda,Essendon,80,82,1316.57,1522.51,1366.57,1314.98,1524.11,-1.6,1.6,Away Win,2015
665,2015-05-03,R5,Adelaide,Port Adelaide,91,115,1565.81,1592.42,1615.81,1547.51,1610.72,-18.3,18.3,Away Win,2015
666,2015-05-08,R6,Collingwood,Geelong,59,100,1550.01,1539.1,1600.01,1519.16,1569.95,-30.85,30.85,Away Win,2015
667,2015-05-09,R6,Fremantle,Essendon,80,52,1668.78,1524.11,1718.78,1677.47,1515.42,8.69,-8.69,Home Win,2015
668,2015-05-09,R6,Gold Coast,Adelaide,78,119,1373.14,1547.51,1423.14,1357.86,1562.79,-15.28,15.28,Away Win,2015
669,2015-05-09,R6,Melbourne,Sydney,50,88,1293.78,1679.31,1343.78,1288.94,1684.15,-4.84,4.84,Away Win,2015
670,2015-05-09,R6,Footscray,St Kilda,87,94,1466.94,1314.98,1516.94,1457.38,1324.54,-9.56,9.56,Away Win,2015
671,2015-05-09,R6,GWS,Hawthorn,108,98,1381.78,1750.19,1431.78,1393.87,1738.1,12.09,-12.09,Home Win,2015
672,2015-05-09,R6,North Melbourne,Richmond,109,74,1526.54,1514.33,1576.54,1545.64,1495.23,19.1,-19.1,Home Win,2015
673,2015-05-10,R6,Carlton,Brisbane Lions,75,84,1394.51,1293.73,1444.51,1383.54,1304.7,-10.97,10.97,Away Win,2015
674,2015-05-10,R6,Port Adelaide,West Coast,68,78,1610.72,1570.52,1660.72,1599.69,1581.55,-11.03,11.03,Away Win,2015
675,2015-05-15,R7,Essendon,North Melbourne,82,93,1515.42,1545.64,1565.42,1505.37,1555.69,-10.04,10.04,Away Win,2015
676,2015-05-16,R7,Sydney,Geelong,120,77,1684.15,1569.95,1734.15,1698.26,1555.84,14.12,-14.12,Home Win,2015
677,2015-05-16,R7,Carlton,GWS,57,135,1383.54,1393.87,1433.54,1334.99,1442.42,-48.56,48.56,Away Win,2015
678,2015-05-16,R7,West Coast,Gold Coast,135,43,1581.55,1357.86,1631.55,1596.12,1343.29,14.57,-14.57,Home Win,2015
679,2015-05-16,R7,Adelaide,St Kilda,119,73,1562.79,1324.54,1612.79,1570.58,1316.75,7.79,-7.79,Home Win,2015
680,2015-05-16,R7,Hawthorn,Melbourne,155,50,1738.1,1288.94,1788.1,1742.48,1284.56,4.38,-4.38,Home Win,2015
681,2015-05-17,R7,Footscray,Fremantle,88,101,1457.38,1677.47,1507.38,1452.27,1682.58,-5.11,5.11,Away Win,2015
682,2015-05-17,R7,Richmond,Collingwood,105,100,1495.23,1519.16,1545.23,1500.3,1514.08,5.07,-5.07,Home Win,2015
683,2015-05-17,R7,Brisbane Lions,Port Adelaide,102,65,1304.7,1599.69,1354.7,1336.53,1567.85,31.84,-31.84,Home Win,2015
684,2015-05-22,R8,Geelong,Carlton,140,63,1555.84,1334.99,1555.84,1572.04,1318.79,16.2,-16.2,Home Win,2015
685,2015-05-23,R8,Fremantle,North Melbourne,115,42,1682.58,1555.69,1732.58,1702.68,1535.59,20.1,-20.1,Home Win,2015
686,2015-05-23,R8,St Kilda,West Coast,78,131,1316.75,1596.12,1366.75,1305.58,1607.29,-11.17,11.17,Away Win,2015
687,2015-05-23,R8,GWS,Adelaide,108,84,1442.42,1570.58,1492.42,1461.82,1551.19,19.4,-19.4,Home Win,2015
688,2015-05-23,R8,Gold Coast,Collingwood,63,132,1343.29,1514.08,1393.29,1319.92,1537.45,-23.37,23.37,Away Win,2015
689,2015-05-23,R8,Hawthorn,Sydney,69,73,1742.48,1698.26,1792.48,1736.58,1704.17,-5.9,5.9,Away Win,2015
690,2015-05-24,R8,Melbourne,Footscray,103,64,1284.56,1452.27,1334.56,1314.39,1422.44,29.83,-29.83,Home Win,2015
691,2015-05-24,R8,Port Adelaide,Richmond,43,76,1567.85,1500.3,1617.85,1539.68,1528.47,-28.17,28.17,Away Win,2015
692,2015-05-24,R8,Essendon,Brisbane Lions,136,78,1505.37,1336.53,1555.37,1518.93,1322.98,13.55,-13.55,Home Win,2015
693,2015-05-29,R9,Sydney,Carlton,122,62,1704.17,1318.79,1754.17,1708.29,1314.67,4.12,-4.12,Home Win,2015
694,2015-05-30,R9,Hawthorn,Gold Coast,93,40,1736.58,1319.92,1786.58,1739.68,1316.82,3.1,-3.1,Home Win,2015
695,2015-05-30,R9,Melbourne,Port Adelaide,54,115,1314.39,1539.68,1364.39,1298.0,1556.07,-16.39,16.39,Away Win,2015
696,2015-05-30,R9,Footscray,GWS,113,68,1422.44,1461.82,1472.44,1449.25,1435.02,26.8,-26.8,Home Win,2015
697,2015-05-30,R9,Richmond,Essendon,72,59,1528.47,1518.93,1578.47,1537.55,1509.85,9.07,-9.07,Home Win,2015
698,2015-05-30,R9,Adelaide,Fremantle,57,68,1551.19,1702.68,1601.19,1544.97,1708.9,-6.22,6.22,Away Win,2015
699,2015-05-31,R9,West Coast,Geelong,120,64,1607.29,1572.04,1657.29,1632.29,1547.03,25.01,-25.01,Home Win,2015
