,Date,Round,Home,Away,Home Score,Away Score,Home Elo Pre,Away Elo Pre,Home Elo Pre + Advantage,Home Elo Post,Away Elo Post,Home Elo Change,Away Elo Change,Result,Year
44,2012-04-29,R5,Hawthorn,Sydney,69,106,1539.5,1578.73,1589.5,1515.03,1603.2,-24.47,24.47,Away Win,2012
45,2012-05-04,R6,Footscray,Collingwood,77,98,1464.2,1497.61,1514.2,1448.07,1513.74,-16.13,16.13,Away Win,2012
46,2012-05-05,R6,Essendon,Brisbane Lions,129,62,1554.08,1456.94,1604.08,1575.79,1435.22,21.71,-21.71,Home Win,2012
47,2012-05-05,R6,Geelong,Melbourne,119,76,1524.25,1379.76,1574.25,1536.39,1367.62,12.14,-12.14,Home Win,2012
48,2012-05-05,R6,Gold Coast,Fremantle,87,94,1371.65,1518.11,1421.65,1367.05,1522.71,-4.59,4.59,Away Win,2012
49,2012-05-05,R6,Sydney,Adelaide,94,99,1603.2,1550.88,1653.2,1596.3,1557.78,-6.9,6.9,Away Win,2012
50,2012-05-05,R6,St Kilda,Hawthorn,88,123,1558.63,1515.03,1558.63,1533.15,1540.51,-25.48,25.48,Away Win,2012
51,2012-05-06,R6,Carlton,GWS,110,43,1589.79,1349.76,1639.79,1600.15,1339.39,10.37,-10.37,Home Win,2012
52,2012-05-06,R6,Port Adelaide,Richmond,54,91,1448.16,1469.89,1448.16,1425.6,1492.45,-22.56,22.56,Away Win,2012
53,2012-05-06,R6,West Coast,North Melbourne,120,95,1604.05,1544.02,1654.05,1616.0,1532.06,11.96,-11.96,Home Win,2012
54,2012-05-11,R7,Melbourne,Hawthorn,49,115,1367.62,1540.51,1417.62,1345.27,1562.86,-22.35,22.35,Away Win,2012
55,2012-05-12,R7,Adelaide,Geelong,122,72,1557.78,1536.39,1557.78,1586.36,1507.81,28.58,-28.58,Home Win,2012
56,2012-05-12,R7,GWS,Gold Coast,94,67,1339.39,1367.05,1389.39,1356.94,1349.5,17.55,-17.55,Home Win,2012
57,2012-05-12,R7,Richmond,Sydney,91,62,1492.45,1596.3,1542.45,1514.03,1574.71,21.58,-21.58,Home Win,2012
58,2012-05-12,R7,Brisbane Lions,Collingwood,58,116,1435.22,1513.74,1485.22,1405.16,1543.81,-30.06,30.06,Away Win,2012
59,2012-05-12,R7,Essendon,West Coast,113,52,1575.79,1616.0,1625.79,1609.88,1581.91,34.1,-34.1,Home Win,2012
60,2012-05-13,R7,North Melbourne,Footscray,83,101,1532.06,1448.07,1582.06,1514.05,1466.09,-18.02,18.02,Away Win,2012
61,2012-05-13,R7,Fremantle,Port Adelaide,87,47,1522.71,1425.6,1572.71,1537.19,1411.11,14.49,-14.49,Home Win,2012
62,2012-05-14,R7,St Kilda,Carlton,122,98,1533.15,1600.15,1583.15,1550.58,1582.72,17.43,-17.43,Home Win,2012
63,2012-05-18,R8,Collingwood,Geelong,96,84,1543.81,1507.81,1593.81,1551.45,1500.17,7.64,-7.64,Home Win,2012
64,2012-05-19,R8,Essendon,Richmond,128,109,1609.88,1514.03,1659.88,1618.09,1505.83,8.21,-8.21,Home Win,2012
65,2012-05-19,R8,Footscray,Gold Coast,72,34,1466.09,1349.5,1466.09,1481.55,1334.04,15.46,-15.46,Home Win,2012
66,2012-05-19,R8,Hawthorn,Fremantle,119,63,1562.86,1537.19,1612.86,1588.93,1511.13,26.06,-26.06,Home Win,2012
67,2012-05-19,R8,Port Adelaide,North Melbourne,95,93,1411.11,1514.05,1411.11,1414.94,1510.23,3.82,-3.82,Home Win,2012
68,2012-05-19,R8,Sydney,Melbourne,138,37,1574.71,1345.27,1624.71,1589.91,1330.07,15.2,-15.2,Home Win,2012
69,2012-05-20,R8,Brisbane Lions,GWS,132,40,1405.16,1356.94,1455.16,1440.11,1322.0,34.94,-34.94,Home Win,2012
70,2012-05-20,R8,Carlton,Adelaide,55,124,1582.72,1586.36,1632.72,1537.66,1631.43,-45.07,45.07,Away Win,2012
71,2012-05-20,R8,West Coast,St Kilda,121,91,1581.91,1550.58,1631.91,1597.53,1534.96,15.63,-15.63,Home Win,2012
72,2012-05-25,R9,Footscray,Geelong,75,95,1481.55,1500.17,1531.55,1465.19,1516.53,-16.36,16.36,Away Win,2012
73,2012-05-26,R9,GWS,Essendon,53,119,1322.0,1618.09,1372.0,1309.83,1630.25,-12.16,12.16,Away Win,2012
74,2012-05-26,R9,Adelaide,Collingwood,49,75,1631.43,1551.45,1631.43,1609.97,1572.91,-21.46,21.46,Away Win,2012
75,2012-05-26,R9,St Kilda,Sydney,111,83,1534.96,1589.91,1584.96,1554.11,1570.76,19.16,-19.16,Home Win,2012
76,2012-05-26,R9,Gold Coast,Port Adelaide,70,118,1334.04,1414.94,1384.04,1308.36,1440.61,-25.68,25.68,Away Win,2012
77,2012-05-26,R9,Richmond,Hawthorn,137,75,1505.83,1588.93,1555.83,1543.48,1551.27,37.66,-37.66,Home Win,2012
78,2012-05-27,R9,North Melbourne,Brisbane Lions,112,96,1510.23,1440.11,1560.23,1518.35,1431.98,8.13,-8.13,Home Win,2012
79,2012-05-27,R9,Carlton,Melbourne,107,49,1537.66,1330.07,1587.66,1548.7,1319.02,11.04,-11.04,Home Win,2012
80,2012-05-27,R9,West Coast,Fremantle,84,36,1597.53,1511.13,1647.53,1615.11,1493.56,17.58,-17.58,Home Win,2012
81,2012-06-01,R10,St Kilda,Richmond,113,121,1554.11,1543.48,1604.11,1545.12,1552.48,-8.99,8.99,Away Win,2012
82,2012-06-02,R10,Port Adelaide,Carlton,99,45,1440.61,1548.7,1440.61,1480.02,1509.29,39.41,-39.41,Home Win,2012
83,2012-06-02,R10,Fremantle,Adelaide,82,111,1493.56,1609.97,1543.56,1478.52,1625.0,-15.03,15.03,Away Win,2012
84,2012-06-02,R10,Essendon,Melbourne,52,58,1630.25,1319.02,1680.25,1621.25,1328.03,-9.0,9.0,Away Win,2012
85,2012-06-02,R10,Geelong,GWS,126,61,1516.53,1309.83,1566.53,1528.67,1297.7,12.14,-12.14,Home Win,2012
86,2012-06-02,R10,Hawthorn,North Melbourne,174,59,1551.27,1518.35,1601.27,1595.87,1473.76,44.6,-44.6,Home Win,2012
87,2012-06-03,R10,Collingwood,Gold Coast,149,52,1572.91,1308.36,1622.91,1585.03,1296.24,12.12,-12.12,Home Win,2012
88,2012-06-03,R10,Sydney,Footscray,132,40,1570.76,1465.19,1620.76,1597.54,1438.41,26.79,-26.79,Home Win,2012
89,2012-06-03,R10,Brisbane Lions,West Coast,102,100,1431.98,1615.11,1481.98,1435.8,1611.29,3.82,-3.82,Home Win,2012
90,2012-06-08,R11,Carlton,Geelong,85,97,1509.29,1528.67,1559.29,1498.17,1539.78,-11.12,11.12,Away Win,2012
91,2012-06-09,R11,Richmond,Fremantle,66,78,1552.48,1478.52,1602.48,1539.32,1491.67,-13.15,13.15,Away Win,2012
92,2012-06-09,R11,Gold Coast,St Kilda,49,144,1296.24,1545.12,1346.24,1275.56,1565.81,-20.69,20.69,Away Win,2012
93,2012-06-09,R11,Essendon,Sydney,82,86,1621.25,1597.54,1671.25,1615.52,1603.27,-5.73,5.73,Away Win,2012
94,2012-06-10,R11,Port Adelaide,Hawthorn,62,108,1480.02,1595.87,1480.02,1462.01,1613.88,-18.01,18.01,Away Win,2012
95,2012-06-11,R11,Melbourne,Collingwood,87,129,1328.03,1585.03,1378.03,1317.58,1595.47,-10.44,10.44,Away Win,2012
96,2012-06-14,R12,West Coast,Carlton,79,69,1611.29,1498.17,1661.29,1615.97,1493.49,4.68,-4.68,Home Win,2012
97,2012-06-15,R12,Adelaide,St Kilda,115,111,1625.0,1565.81,1625.0,1628.84,1561.98,3.83,-3.83,Home Win,2012
98,2012-06-16,R12,Gold Coast,North Melbourne,80,87,1275.56,1473.76,1325.56,1271.93,1477.39,-3.63,3.63,Away Win,2012
99,2012-06-16,R12,GWS,Richmond,74,86,1297.7,1539.32,1347.7,1293.36,1543.66,-4.33,4.33,Away Win,2012
100,2012-06-17,R12,Hawthorn,Brisbane Lions,135,70,1613.88,1435.8,1663.88,1628.01,1421.67,14.13,-14.13,Home Win,2012
101,2012-06-17,R12,Footscray,Port Adelaide,95,57,1438.41,1462.01,1488.41,1461.07,1439.34,22.67,-22.67,Home Win,2012
102,2012-06-22,R13,Sydney,Geelong,80,74,1603.27,1539.78,1653.27,1607.39,1535.67,4.12,-4.12,Home Win,2012
103,2012-06-23,R13,Footscray,Brisbane Lions,56,114,1461.07,1421.67,1511.07,1418.84,1463.91,-42.23,42.23,Away Win,2012
104,2012-06-23,R13,Collingwood,West Coast,85,82,1595.47,1615.97,1645.47,1599.11,1612.33,3.64,-3.64,Home Win,2012
